<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STX,D,20180608,000000,2.8365,2.8516,2.8139,2.8214,28565,0
STX,D,20180611,000000,2.8365,2.8441,2.8214,2.8214,26202,0
STX,D,20180612,000000,2.8365,2.8365,2.8139,2.829,6219,0
STX,D,20180613,000000,2.8214,2.8365,2.8063,2.8365,38369,0
STX,D,20180614,000000,2.8139,2.829,2.8139,2.8139,11522,0
STX,D,20180615,000000,2.8441,2.8441,2.8063,2.8139,37449,0
STX,D,20180618,000000,2.8063,2.8063,2.7535,2.7837,81104,0
STX,D,20180619,000000,2.7459,2.7913,2.7385,2.761,66452,0
STX,D,20180620,000000,2.7913,2.7913,2.7535,2.7535,25833,0
STX,D,20180621,000000,2.7535,2.7535,2.7234,2.7234,23225,0
STX,D,20180622,000000,2.7082,2.7234,2.6027,2.6404,145908,0
STX,D,20180625,000000,2.6404,2.6404,2.4593,2.4593,454860,0
STX,D,20180626,000000,2.4518,2.4895,2.3839,2.3989,181136,0
STX,D,20180627,000000,2.3989,2.3989,2.2405,2.2632,382361,0
STX,D,20180628,000000,2.2632,2.316,2.2405,2.2481,883000,0
STX,D,20180629,000000,2.2481,2.3009,2.2481,2.2632,1266135,0
STX,D,20180702,000000,2.2857,2.5348,2.2632,2.5348,746362,0
STX,D,20180703,000000,2.5649,2.6404,2.5121,2.5725,456897,0
STX,D,20180704,000000,2.5876,2.6329,2.5725,2.6329,769918,0
STX,D,20180705,000000,2.6253,2.6404,2.6027,2.6404,57903,0
STX,D,20180706,000000,2.6027,2.6404,2.6027,2.6102,114298,0
STX,D,20180709,000000,2.6253,2.6253,2.5876,2.595,57894,0
STX,D,20180710,000000,2.595,2.595,2.5649,2.5725,32398,0
STX,D,20180711,000000,2.5725,2.5725,2.5574,2.5649,192995,0
STX,D,20180712,000000,2.5272,2.5649,2.5272,2.5649,248184,0
STX,D,20180713,000000,2.5649,2.6027,2.5499,2.595,219905,0
STX,D,20180716,000000,2.6178,2.6178,2.5574,2.5574,291615,0
STX,D,20180717,000000,2.5348,2.5649,2.5348,2.5348,34510,0
STX,D,20180718,000000,2.5348,2.5574,2.497,2.5574,325725,0
STX,D,20180719,000000,2.5649,2.5649,2.414,2.4442,329269,0
STX,D,20180720,000000,2.4668,2.5272,2.4593,2.5272,73896,0
STX,D,20180723,000000,2.5272,2.5574,2.5046,2.5272,95094,0
STX,D,20180724,000000,2.5121,2.5272,2.497,2.497,58928,0
STX,D,20180725,000000,2.5046,2.5121,2.4744,2.4819,50201,0
STX,D,20180726,000000,2.4895,2.5121,2.4895,2.5121,18892,0
STX,D,20180727,000000,2.5272,2.5272,2.5121,2.5121,264774,0
STX,D,20180730,000000,2.5499,2.5649,2.5046,2.5649,89474,0
STX,D,20180731,000000,2.5725,2.6027,2.5725,2.58,34201,0
