<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IPF,D,20071022,000000,7.9267,7.9339,7.7351,7.8953,6578527,0
IPF,D,20071023,000000,8.0728,8.1055,7.9532,8.0802,2789639,0
IPF,D,20071024,000000,7.9718,8.1691,7.9718,8.1191,1167965,0
IPF,D,20071025,000000,8.036,8.2413,8.036,8.2413,3124572,0
IPF,D,20071026,000000,8.1055,8.1555,8.0168,8.087,9379896,0
IPF,D,20071029,000000,8.2013,8.2716,8.1962,8.2716,4510843,0
IPF,D,20071030,000000,8.2716,8.6617,8.2716,8.4378,3842293,0
IPF,D,20071031,000000,8.4898,8.4898,8.1632,8.2206,4270105,0
IPF,D,20071101,000000,8.1555,8.3478,7.7424,8.093,2479584,0
IPF,D,20071102,000000,8.0168,8.1243,7.8253,7.9339,2128690,0
IPF,D,20071105,000000,7.8622,7.8622,7.365,7.5505,2362870,0
IPF,D,20071106,000000,7.5813,7.7279,7.4157,7.6397,2472448,0
IPF,D,20071107,000000,7.6012,7.6012,7.2434,7.5056,1436274,0
IPF,D,20071108,000000,7.3458,7.5113,7.2176,7.4096,2100016,0
IPF,D,20071109,000000,7.365,7.5633,7.1479,7.4674,1505851,0
IPF,D,20071112,000000,7.4157,7.5239,7.2108,7.3271,1024842,0
IPF,D,20071113,000000,7.3781,7.5182,7.2755,7.428,1641613,0
IPF,D,20071114,000000,7.4227,7.7852,7.4035,7.5505,1735449,0
IPF,D,20071115,000000,7.5633,7.7852,7.5633,7.6781,1164063,0
IPF,D,20071116,000000,7.716,7.773,7.2877,7.3718,2106050,0
IPF,D,20071119,000000,7.3006,7.6397,7.0898,7.2304,1424294,0
IPF,D,20071120,000000,7.2695,7.3006,6.8347,7.2048,2216170,0
IPF,D,20071121,000000,7.0965,7.0965,6.8666,7.026,2572787,0
IPF,D,20071122,000000,7.026,7.026,6.7709,6.8283,621665,0
IPF,D,20071123,000000,6.8538,7.0772,6.8219,7.0326,738330,0
IPF,D,20071126,000000,7.1538,7.2176,6.8794,7.0076,931910,0
IPF,D,20071127,000000,6.8092,7.02,6.8092,6.8347,1271846,0
IPF,D,20071128,000000,6.9178,6.9497,6.8219,6.9112,984209,0
IPF,D,20071129,000000,6.8219,6.9813,6.8026,6.8923,673260,0
IPF,D,20071130,000000,6.7899,7.0076,6.7643,6.8923,2814780,0
IPF,D,20071203,000000,6.8538,7.1159,6.8538,6.8538,1759609,0
IPF,D,20071204,000000,6.8219,6.8219,6.6878,6.7516,1015204,0
IPF,D,20071205,000000,6.7135,6.7325,6.528,6.6495,3039501,0
IPF,D,20071206,000000,6.7197,6.7452,6.4067,6.6878,1862891,0
IPF,D,20071207,000000,6.6941,6.726,6.5666,6.6813,1858210,0
IPF,D,20071210,000000,6.6175,6.7643,6.4958,6.6047,1208000,0
IPF,D,20071211,000000,6.477,6.8859,6.2276,6.4452,2413128,0
IPF,D,20071212,000000,6.4194,6.7709,6.3619,6.7325,3595940,0
IPF,D,20071213,000000,6.6878,7.046,6.6175,6.6878,3376029,0
IPF,D,20071214,000000,6.7069,6.7963,6.6431,6.7389,948267,0
IPF,D,20071217,000000,6.7135,6.7135,6.0809,6.3939,2776932,0
IPF,D,20071218,000000,6.3047,6.4707,6.1769,6.1769,2059568,0
IPF,D,20071219,000000,6.2407,6.2855,6.0936,6.0936,1735725,0
IPF,D,20071220,000000,6.2086,6.2534,6.1576,6.2407,746229,0
IPF,D,20071221,000000,6.2534,6.4452,6.1833,6.1833,2357278,0
IPF,D,20071224,000000,6.3173,6.3173,6.1576,6.1576,51344,0
IPF,D,20071227,000000,6.0556,6.247,5.9722,5.9722,678591,0
IPF,D,20071228,000000,6.0238,6.0745,5.8765,5.9214,396876,0
IPF,D,20071231,000000,5.8765,6.0936,5.8062,5.966,691865,0
IPF,D,20080102,000000,6.017,6.2855,5.9277,6.1513,1823190,0
IPF,D,20080103,000000,6.1449,6.1449,5.9468,6.1001,443145,0
IPF,D,20080104,000000,6.004,6.0682,5.653,5.653,739772,0
IPF,D,20080107,000000,5.7616,5.9468,5.5125,5.8829,1281077,0
IPF,D,20080108,000000,5.9405,6.004,5.7872,6.004,1023734,0
IPF,D,20080109,000000,5.9852,5.9852,5.6147,5.6976,1713398,0
IPF,D,20080110,000000,5.7362,5.7808,5.5252,5.5381,2250565,0
IPF,D,20080111,000000,5.487,5.6658,5.3016,5.6336,3910045,0
IPF,D,20080114,000000,5.6147,5.768,5.5252,5.704,4140835,0
IPF,D,20080115,000000,5.6723,5.8319,5.5954,5.7488,8045113,0
IPF,D,20080116,000000,5.7872,5.7998,5.5443,5.653,5696773,0
IPF,D,20080117,000000,5.7296,5.8765,5.6595,5.768,2937700,0
IPF,D,20080118,000000,5.8126,5.9021,5.6914,5.8702,1819435,0
IPF,D,20080121,000000,5.8062,6.017,5.7808,5.9277,1719920,0
IPF,D,20080122,000000,5.7742,5.7742,5.4168,5.557,8568750,0
IPF,D,20080123,000000,5.6785,5.6785,5.3336,5.5381,3477828,0
IPF,D,20080124,000000,5.7423,6.004,5.557,5.8383,4449957,0
IPF,D,20080125,000000,5.9405,6.0682,5.8319,5.9405,1716928,0
IPF,D,20080128,000000,5.9021,6.0106,5.8635,5.9916,869311,0
